entity,code,year,is_aggregate,continent,auto_powerhouse,ev_sales,ev_sales_share,ev_stock,bev_share_ev_cars,phev_fcev_share_ev_cars,yoy_sales_growth_pct,global_sales_share_pct,sales_share_tier,tipping_year,years_since_tipping,rank_sales_in_year,rank_stock_in_year
Australia,AUS,2011,False,Asia-Pacific,False,49.0,0.0061,49.0,100.0,0.0,,0.1,Nascent (<1%),2022.0,-11.0,19.0,22.0
Australia,AUS,2012,False,Asia-Pacific,False,250.0,0.029,300.0,68.0,32.0,410.2040816326531,0.21008403361344538,Nascent (<1%),2022.0,-10.0,18.0,22.0
Australia,AUS,2013,False,Asia-Pacific,False,290.0,0.033,590.0,65.51724,34.48276,15.999999999999993,0.14427860696517414,Nascent (<1%),2022.0,-9.0,20.0,22.0
Australia,AUS,2014,False,Asia-Pacific,False,1320.0,0.15,1880.0,28.0303,71.9697,355.1724137931035,0.4,Nascent (<1%),2022.0,-8.0,17.0,19.0
Australia,AUS,2015,False,Asia-Pacific,False,1760.0,0.19,3600.0,43.18182,56.81818,33.33333333333333,0.3384615384615385,Nascent (<1%),2022.0,-7.0,18.0,19.0
Australia,AUS,2016,False,Asia-Pacific,False,1370.0,0.15,5000.0,48.90511,51.09489,-22.159090909090907,0.17564102564102566,Nascent (<1%),2022.0,-6.0,21.0,18.0
Australia,AUS,2017,False,Asia-Pacific,False,2300.0,0.25,7300.0,52.17391,47.82609,67.88321167883211,0.19166666666666665,Nascent (<1%),2022.0,-5.0,22.0,20.0
Australia,AUS,2018,False,Asia-Pacific,False,3600.0,0.42,10900.0,50.0,50.0,56.52173913043479,0.175609756097561,Nascent (<1%),2022.0,-4.0,25.0,21.0
Australia,AUS,2019,False,Asia-Pacific,False,9200.0,1.2,20600.0,68.47826,31.521739999999994,155.55555555555554,0.4423076923076923,Early (1-5%),2022.0,-3.0,20.0,20.0
Australia,AUS,2020,False,Asia-Pacific,False,6900.0,0.98,27000.0,75.36232,24.637680000000003,-25.0,0.2315436241610738,Nascent (<1%),2022.0,-2.0,22.0,20.0
Australia,AUS,2021,False,Asia-Pacific,False,20400.0,2.7,48000.0,83.33333,16.666669999999996,195.65217391304347,0.3090909090909091,Early (1-5%),2022.0,-1.0,21.0,20.0
Australia,AUS,2022,False,Asia-Pacific,False,38900.0,5.1,88000.0,84.8329,15.167100000000005,90.68627450980394,0.3813725490196079,Growth (5-20%),2022.0,0.0,20.0,20.0
Australia,AUS,2023,False,Asia-Pacific,False,98000.0,11.0,181000.0,88.77551,11.224490000000003,151.9280205655527,0.7153284671532847,Growth (5-20%),2022.0,1.0,15.0,19.0
Australia,AUS,2024,False,Asia-Pacific,False,114000.0,12.0,304000.0,79.82456,20.175439999999995,16.326530612244895,0.6514285714285715,Growth (5-20%),2022.0,2.0,14.0,17.0
